Date,Annee,Mois,Cout_millime_kg
2018-12-31,2018,12,9873.0
2018-11-30,2018,11,9873.0
2018-10-31,2018,10,9866.0
2018-09-30,2018,9,9830.0
2018-08-31,2018,8,9588.0
2018-07-31,2018,7,9391.0
2018-06-30,2018,6,9147.0
2018-05-31,2018,5,9042.0
2018-04-30,2018,4,8961.0
2018-03-31,2018,3,8774.0
2018-02-28,2018,2,8774.0
2018-01-31,2018,1,8609.0
2017-12-31,2017,12,8550.0
2017-11-30,2017,11,8509.0
2017-10-31,2017,10,8509.0
2017-09-30,2017,9,8489.0
2017-08-31,2017,8,8400.0
2017-07-31,2017,7,8400.0
2017-06-30,2017,6,8400.0
2017-05-31,2017,5,8372.0
2017-04-30,2017,4,8430.0
2017-03-31,2017,3,8379.0
2017-02-28,2017,2,8270.0
2017-01-31,2017,1,8270.0
