 Annee : 2020;;
Espece;Quantite (Kg);Valeur (Dt)
Raie;80;840
Anguille;44 791;1 285 748,00
Aiguillette;788;14 727,00
Merlu;2 982;28 645,00
Baudroie;1 020;11 553,00
Loups;413 898;7 855 919,00
Merous;270;8 478,00
Daurades;2 185 742;33 527 250,00
Divers;270 786;3 316 752,00
Saurel;7 028;9 939,00
Sardine;1 598 262;11 990 364,00
Sardinelle;120 897;556 298,00
Anchois;1 534 175;42 640 177,00
Maquereau;132 445;3 017 184,00
Bonite;148 513;3 393 847,00
Thon rouge;3 711 951;111 415 833,00
Espadon;943;23 845,00
Langoustine;12 281;816 003,00
Langouste;4 596;644 016,00
Crabe;3 806 549;38 760 778,00
Huitre;12 808;436 853,00
Clovisse;1 600;72 714,00
Calamar;5 448;153 144,00
Poulpe;1 133 980;26 175 037,00
Seiche;521 511;9 935 004,00
Corail;796;554 097,00
Eponge;6 808;2 584 076,00
Crevette;2 700 694;103 045 998,00
Thons;1 974 794;30 324 316,00
autres;1 429 461;32 419 274,00
Carpe;20;910
Autres mollusques;43 317;845 284,00
Autres poissons congel?s;4 541;130 375,00
Autres thons;590;17 686,00
Autres conserves-semi conserves;240 353;2 227 209,00
Autres crustac?s;60;3 359,00
Autres poissons d'eau douce;16 430;407 458,00
Rouget de mer;16 489;124 410,00
Maquereaux frais;1 128;12 181,00
Thons congel?s;25;84
Autres poissons frais;1 556 505;17 448 979,00
TOTAUX;23 665 355;486 236 644,00
