delegation-ar;superficie-pluviale;nombre pieds-plu;superficie-irriguee;nombre pieds-irr
منزل شاكر;106195;2109785;523;104600
بئر علي;60200;1207150;435;82600
عقارب;37720;644712;884;94600
المحرس;31350;581225;755;53155
الحنشة ;35875;707639;550;260900
الغريبة;21745;385855;15;3000
صفاقس ج;1360;26200;153;44095
العامرة;18180;355200;780;154300
طينة;6480;127340;260;52000
جبنيانة;15260;395400;276;84600
الصخيرة;11480;195740;2090;416560
س الدائر;3420;60200;75;14995
س الزيت;1640;49340;75;11000
قرقنة;2800;171995;208;52860
