Date,Gouvernorat,Superficies
2000,Kef,630.0
2000,Siliana,820.0
2000,Béja,1090.0
2000,Bizerte,1200.0
2000,Ariana,1460.0
2000,Sidi Bouzid,2150.0
2000,Nabeul,11700.0
2001,Bizerte,390.0
2001,Ariana,440.0
2001,Siliana,590.0
2001,Béja,970.0
2001,Manouba,1100.0
2001,Sidi Bouzid,1230.0
2001,Kef,1580.0
2001,Nabeul,8500.0
2002,Ariana,420.0
2002,Siliana,590.0
2002,Bizerte,820.0
2002,Kef,1150.0
2002,Béja,1190.0
2002,Manouba,1210.0
2002,Sidi Bouzid,1650.0
2002,Nabeul,9200.0
2003,Ariana,390.0
2003,Siliana,620.0
2003,Bizerte,790.0
2003,Béja,1270.0
2003,Kef,1380.0
2003,Sidi Bouzid,1380.0
2003,Manouba,1420.0
2003,Nabeul,10350.0
2004,Bizerte,250.0
2004,Ariana,430.0
2004,Siliana,720.0
2004,Manouba,1320.0
2004,Béja,1350.0
2004,Kef,1390.0
2004,Sidi Bouzid,1470.0
2004,Nabeul,9800.0
2005,Ariana,280.0
2005,Siliana,470.0
2005,Bizerte,500.0
2005,Béja,1370.0
2005,Manouba,1400.0
2005,Kef,1450.0
2005,Sidi Bouzid,1800.0
2005,Nabeul,10000.0
2006,Ariana,200.0
2006,Bizerte,450.0
2006,Siliana,620.0
2006,Manouba,950.0
2006,Béja,1150.0
2006,Sidi Bouzid,1340.0
2006,Kef,1460.0
2006,Nabeul,8500.0
2007,Ariana,140.0
2007,Zaghouan,350.0
2007,Sousse,350.0
2007,Siliana,380.0
2007,Sfax,420.0
2007,Jendouba,500.0
2007,Manouba,590.0
2007,Bizerte,590.0
2007,Kairouan,1200.0
2007,Béja,1320.0
2007,Kef,1620.0
2007,Sidi Bouzid,1790.0
2007,Nabeul,9800.0
2008,Zaghouan,290.0
2008,Sfax,300.0
2008,Bizerte,480.0
2008,Siliana,530.0
2008,Sousse,530.0
2008,Jendouba,720.0
2008,Manouba,960.0
2008,Kairouan,1460.0
2008,Béja,1700.0
2008,Sidi Bouzid,1890.0
2008,Kef,1910.0
2008,Nabeul,10000.0
2009,Sfax,290.0
2009,Siliana,360.0
2009,Bizerte,460.0
2009,Zaghouan,530.0
2009,Sousse,560.0
2009,Manouba,800.0
2009,Jendouba,850.0
2009,Béja,1330.0
2009,Kairouan,1690.0
2009,Sidi Bouzid,2040.0
2009,Kef,2050.0
2009,Nabeul,9700.0
2010,Sfax,270.0
2010,Zaghouan,540.0
2010,Sousse,660.0
2010,Bizerte,730.0
2010,Siliana,840.0
2010,Manouba,1270.0
2010,Jendouba,1450.0
2010,Kef,1600.0
2010,Béja,2400.0
2010,Sidi Bouzid,2580.0
2010,Kairouan,4130.0
2010,Nabeul,9130.0
2011,Sousse,220.0
2011,Sfax,300.0
2011,Zaghouan,470.0
2011,Bizerte,550.0
2011,Siliana,550.0
2011,Kef,1020.0
2011,Manouba,1300.0
2011,Jendouba,1510.0
2011,Sidi Bouzid,2450.0
2011,Béja,2510.0
2011,Kairouan,6310.0
2011,Nabeul,7500.0
2012,Sfax,250.0
2012,Sousse,510.0
2012,Bizerte,630.0
2012,Zaghouan,640.0
2012,Siliana,710.0
2012,Kef,930.0
2012,Manouba,1230.0
2012,Béja,1650.0
2012,Jendouba,1800.0
2012,Sidi Bouzid,2450.0
2012,Kairouan,6010.0
2012,Nabeul,6500.0
2013,Sfax,160.0
2013,Zaghouan,350.0
2013,Sousse,500.0
2013,Siliana,590.0
2013,Kef,700.0
2013,Manouba,740.0
2013,Bizerte,1010.0
2013,Jendouba,1060.0
2013,Béja,1250.0
2013,Sidi Bouzid,1730.0
2013,Kairouan,1760.0
2013,Nabeul,5000.0
2014,Sfax,260.0
2014,Zaghouan,450.0
2014,Sousse,540.0
2014,Siliana,640.0
2014,Bizerte,930.0
2014,Kef,930.0
2014,Manouba,1010.0
2014,Jendouba,1250.0
2014,Béja,1500.0
2014,Sidi Bouzid,2050.0
2014,Kairouan,2460.0
2014,Nabeul,5000.0
2015,Sfax,320.0
2015,Zaghouan,350.0
2015,Sousse,390.0
2015,Bizerte,570.0
2015,Siliana,650.0
2015,Kef,930.0
2015,Jendouba,1170.0
2015,Béja,1360.0
2015,Manouba,1480.0
2015,Sidi Bouzid,2500.0
2015,Kairouan,2730.0
2015,Nabeul,5430.0
