ANNEE_DECLARAION,EMPLOI,GOUVERNORAT,INVESTISSEMNT
2018,1183,زغوان,74669694
2018,587,بن عروس,35150190
2018,1445,القيروان,148589650
2018,229,قبلي,20900379
2018,928,سيدي بوزيد,116456527
2018,2440,قابس,68392243
2018,60,أريانة,15832913
2018,994,القصرين,112283800
2018,111,تــونس,6477176
2018,223,الكاف,36743942
2018,439,سوسة,74329373
2018,1798,بنزرت,81481031
2018,3408,توزر,27810558
2018,321,تطاوين,41950448
2018,523,المهدية,70079500
2018,750,سليانة,51192979
2018,616,باجة,66894454
2018,487,منــوبة,47286163
2018,1807,نابل,99046257
2018,823,صفاقس,145030166
2018,567,قفصة,52352729
2018,532,مدنين,45674168
2018,2062,جندوبة,25279209
2018,730,المنستير,42363120
